,img,exp_val,clus_pred,max rec,treshold,kern_size,text,clus-error,Notes,delta_bacche_abs,delta_bacche,stridex,stridey
0,image-gt-45-pred-43-2000x1500.png,43,60.0,60.0,0.34,1025.0,the number of berries,0.3953488372093023,,17.0,-17.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,36.0,60.0,0.34,1025.0,the number of berries,0.3076923076923077,,16.0,16.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,116.0,60.0,0.34,1025.0,the number of berries,0.589041095890411,,43.0,-43.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,114.0,60.0,0.34,1010.0,the number of berries,0.09615384615384616,,10.0,-10.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,118.0,60.0,0.34,1010.0,the number of berries,0.04424778761061947,,5.0,-5.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,70.0,60.0,0.34,1010.0,the number of berries,0.627906976744186,,27.0,-27.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,47.0,60.0,0.34,1010.0,the number of berries,0.09615384615384616,,5.0,5.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,106.0,60.0,0.34,1010.0,the number of berries,0.4520547945205479,,33.0,-33.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,111.0,60.0,0.34,1030.0,the number of berries,0.0673076923076923,,7.0,-7.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,114.0,60.0,0.34,1030.0,the number of berries,0.008849557522123894,,1.0,-1.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,50.0,60.0,0.34,1030.0,the number of berries,0.16279069767441862,,7.0,-7.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,35.0,60.0,0.34,1030.0,the number of berries,0.3269230769230769,,17.0,17.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,87.0,60.0,0.34,1030.0,the number of berries,0.1917808219178082,,14.0,-14.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,106.0,60.0,0.34,1000.0,the number of berries,0.019230769230769232,,2.0,-2.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,102.0,60.0,0.34,1000.0,the number of berries,0.09734513274336283,,11.0,11.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,57.0,60.0,0.34,1000.0,the number of berries,0.32558139534883723,,14.0,-14.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,34.0,60.0,0.34,1000.0,the number of berries,0.34615384615384615,,18.0,18.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,89.0,60.0,0.34,1000.0,the number of berries,0.2191780821917808,,16.0,-16.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,96.0,60.0,0.34,950.0,the number of berries,0.07692307692307693,,8.0,8.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,107.0,60.0,0.34,950.0,the number of berries,0.05309734513274336,,6.0,6.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,55.0,60.0,0.34,950.0,the number of berries,0.27906976744186046,,12.0,-12.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,48.0,60.0,0.34,950.0,the number of berries,0.07692307692307693,,4.0,4.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,82.0,60.0,0.34,950.0,the number of berries,0.1232876712328767,,9.0,-9.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,101.0,60.0,0.34,975.0,the number of berries,0.028846153846153848,,3.0,3.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,111.0,60.0,0.34,975.0,the number of berries,0.017699115044247787,,2.0,2.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,76.0,60.0,0.34,975.0,the number of berries,0.7674418604651163,,33.0,-33.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,37.0,60.0,0.34,975.0,the number of berries,0.28846153846153844,,15.0,15.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,97.0,60.0,0.34,975.0,the number of berries,0.3287671232876712,,24.0,-24.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,101.0,60.0,0.35,1050.0,the number of berries,0.028846153846153848,,3.0,3.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,112.0,60.0,0.35,1050.0,the number of berries,0.008849557522123894,,1.0,1.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,49.0,60.0,0.35,1050.0,the number of berries,0.13953488372093023,,6.0,-6.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,39.0,60.0,0.35,1050.0,the number of berries,0.25,,13.0,13.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,78.0,60.0,0.35,1050.0,the number of berries,0.0684931506849315,,5.0,-5.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,102.0,60.0,0.35,1025.0,the number of berries,0.019230769230769232,,2.0,2.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,112.0,60.0,0.35,1025.0,the number of berries,0.008849557522123894,,1.0,1.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,62.0,60.0,0.35,1025.0,the number of berries,0.4418604651162791,,19.0,-19.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,34.0,60.0,0.35,1025.0,the number of berries,0.34615384615384615,,18.0,18.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,110.0,60.0,0.35,1025.0,the number of berries,0.5068493150684932,,37.0,-37.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,117.0,60.0,0.35,1010.0,the number of berries,0.125,,13.0,-13.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,117.0,60.0,0.35,1010.0,the number of berries,0.035398230088495575,,4.0,-4.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,74.0,60.0,0.35,1010.0,the number of berries,0.7209302325581395,,31.0,-31.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,44.0,60.0,0.35,1010.0,the number of berries,0.15384615384615385,,8.0,8.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,101.0,60.0,0.35,1010.0,the number of berries,0.3835616438356164,,28.0,-28.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,110.0,60.0,0.35,1030.0,the number of berries,0.057692307692307696,,6.0,-6.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,113.0,60.0,0.35,1030.0,the number of berries,0.0,,0.0,0.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,47.0,60.0,0.35,1030.0,the number of berries,0.09302325581395349,,4.0,-4.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,33.0,60.0,0.35,1030.0,the number of berries,0.36538461538461536,,19.0,19.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,83.0,60.0,0.35,1030.0,the number of berries,0.136986301369863,,10.0,-10.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,104.0,60.0,0.35,1000.0,the number of berries,0.0,,0.0,0.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,100.0,60.0,0.35,1000.0,the number of berries,0.11504424778761062,,13.0,13.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,53.0,60.0,0.35,1000.0,the number of berries,0.23255813953488372,,10.0,-10.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,31.0,60.0,0.35,1000.0,the number of berries,0.40384615384615385,,21.0,21.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,88.0,60.0,0.35,1000.0,the number of berries,0.2054794520547945,,15.0,-15.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,96.0,60.0,0.35,950.0,the number of berries,0.07692307692307693,,8.0,8.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,105.0,60.0,0.35,950.0,the number of berries,0.07079646017699115,,8.0,8.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,52.0,60.0,0.35,950.0,the number of berries,0.20930232558139536,,9.0,-9.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,47.0,60.0,0.35,950.0,the number of berries,0.09615384615384616,,5.0,5.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,80.0,60.0,0.35,950.0,the number of berries,0.0958904109589041,,7.0,-7.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,101.0,60.0,0.35,975.0,the number of berries,0.028846153846153848,,3.0,3.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,110.0,60.0,0.35,975.0,the number of berries,0.02654867256637168,,3.0,3.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,73.0,60.0,0.35,975.0,the number of berries,0.6976744186046512,,30.0,-30.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,36.0,60.0,0.35,975.0,the number of berries,0.3076923076923077,,16.0,16.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,94.0,60.0,0.35,975.0,the number of berries,0.2876712328767123,,21.0,-21.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,98.0,60.0,0.36,1050.0,the number of berries,0.057692307692307696,,6.0,6.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,112.0,60.0,0.36,1050.0,the number of berries,0.008849557522123894,,1.0,1.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,48.0,60.0,0.36,1050.0,the number of berries,0.11627906976744186,,5.0,-5.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,39.0,60.0,0.36,1050.0,the number of berries,0.25,,13.0,13.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,77.0,60.0,0.36,1050.0,the number of berries,0.0547945205479452,,4.0,-4.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,101.0,60.0,0.36,1025.0,the number of berries,0.028846153846153848,,3.0,3.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,110.0,60.0,0.36,1025.0,the number of berries,0.02654867256637168,,3.0,3.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,58.0,60.0,0.36,1025.0,the number of berries,0.3488372093023256,,15.0,-15.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,32.0,60.0,0.36,1025.0,the number of berries,0.38461538461538464,,20.0,20.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,107.0,60.0,0.36,1025.0,the number of berries,0.4657534246575342,,34.0,-34.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,117.0,60.0,0.36,1010.0,the number of berries,0.125,,13.0,-13.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,116.0,60.0,0.36,1010.0,the number of berries,0.02654867256637168,,3.0,-3.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,71.0,60.0,0.36,1010.0,the number of berries,0.6511627906976745,,28.0,-28.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,40.0,60.0,0.36,1010.0,the number of berries,0.23076923076923078,,12.0,12.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,102.0,60.0,0.36,1010.0,the number of berries,0.3972602739726027,,29.0,-29.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,110.0,60.0,0.36,1030.0,the number of berries,0.057692307692307696,,6.0,-6.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,111.0,60.0,0.36,1030.0,the number of berries,0.017699115044247787,,2.0,2.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,44.0,60.0,0.36,1030.0,the number of berries,0.023255813953488372,,1.0,-1.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,33.0,60.0,0.36,1030.0,the number of berries,0.36538461538461536,,19.0,19.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,80.0,60.0,0.36,1030.0,the number of berries,0.0958904109589041,,7.0,-7.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,101.0,60.0,0.36,1000.0,the number of berries,0.028846153846153848,,3.0,3.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,96.0,60.0,0.36,1000.0,the number of berries,0.1504424778761062,,17.0,17.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,51.0,60.0,0.36,1000.0,the number of berries,0.18604651162790697,,8.0,-8.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,27.0,60.0,0.36,1000.0,the number of berries,0.4807692307692308,,25.0,25.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,86.0,60.0,0.36,1000.0,the number of berries,0.1780821917808219,,13.0,-13.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,94.0,60.0,0.36,950.0,the number of berries,0.09615384615384616,,10.0,10.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,102.0,60.0,0.36,950.0,the number of berries,0.09734513274336283,,11.0,11.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,47.0,60.0,0.36,950.0,the number of berries,0.09302325581395349,,4.0,-4.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,44.0,60.0,0.36,950.0,the number of berries,0.15384615384615385,,8.0,8.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,80.0,60.0,0.36,950.0,the number of berries,0.0958904109589041,,7.0,-7.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,100.0,60.0,0.36,975.0,the number of berries,0.038461538461538464,,4.0,4.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,109.0,60.0,0.36,975.0,the number of berries,0.035398230088495575,,4.0,4.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,72.0,60.0,0.36,975.0,the number of berries,0.6744186046511628,,29.0,-29.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,35.0,60.0,0.36,975.0,the number of berries,0.3269230769230769,,17.0,17.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,92.0,60.0,0.36,975.0,the number of berries,0.2602739726027397,,19.0,-19.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,97.0,60.0,0.37,1050.0,the number of berries,0.0673076923076923,,7.0,7.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,109.0,60.0,0.37,1050.0,the number of berries,0.035398230088495575,,4.0,4.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,48.0,60.0,0.37,1050.0,the number of berries,0.11627906976744186,,5.0,-5.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,39.0,60.0,0.37,1050.0,the number of berries,0.25,,13.0,13.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,75.0,60.0,0.37,1050.0,the number of berries,0.0273972602739726,,2.0,-2.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,100.0,60.0,0.37,1025.0,the number of berries,0.038461538461538464,,4.0,4.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,110.0,60.0,0.37,1025.0,the number of berries,0.02654867256637168,,3.0,3.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,54.0,60.0,0.37,1025.0,the number of berries,0.2558139534883721,,11.0,-11.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,31.0,60.0,0.37,1025.0,the number of berries,0.40384615384615385,,21.0,21.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,102.0,60.0,0.37,1025.0,the number of berries,0.3972602739726027,,29.0,-29.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,117.0,60.0,0.37,1010.0,the number of berries,0.125,,13.0,-13.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,111.0,60.0,0.37,1010.0,the number of berries,0.017699115044247787,,2.0,2.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,65.0,60.0,0.37,1010.0,the number of berries,0.5116279069767442,,22.0,-22.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,38.0,60.0,0.37,1010.0,the number of berries,0.2692307692307692,,14.0,14.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,100.0,60.0,0.37,1010.0,the number of berries,0.3698630136986301,,27.0,-27.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,106.0,60.0,0.37,1030.0,the number of berries,0.019230769230769232,,2.0,-2.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,108.0,60.0,0.37,1030.0,the number of berries,0.04424778761061947,,5.0,5.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,42.0,60.0,0.37,1030.0,the number of berries,0.023255813953488372,,1.0,1.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,32.0,60.0,0.37,1030.0,the number of berries,0.38461538461538464,,20.0,20.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,80.0,60.0,0.37,1030.0,the number of berries,0.0958904109589041,,7.0,-7.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,102.0,60.0,0.37,1000.0,the number of berries,0.019230769230769232,,2.0,2.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,96.0,60.0,0.37,1000.0,the number of berries,0.1504424778761062,,17.0,17.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,49.0,60.0,0.37,1000.0,the number of berries,0.13953488372093023,,6.0,-6.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,26.0,60.0,0.37,1000.0,the number of berries,0.5,,26.0,26.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,84.0,60.0,0.37,1000.0,the number of berries,0.1506849315068493,,11.0,-11.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,95.0,60.0,0.37,950.0,the number of berries,0.08653846153846154,,9.0,9.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,100.0,60.0,0.37,950.0,the number of berries,0.11504424778761062,,13.0,13.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,45.0,60.0,0.37,950.0,the number of berries,0.046511627906976744,,2.0,-2.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,42.0,60.0,0.37,950.0,the number of berries,0.19230769230769232,,10.0,10.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,79.0,60.0,0.37,950.0,the number of berries,0.0821917808219178,,6.0,-6.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,99.0,60.0,0.37,975.0,the number of berries,0.04807692307692308,,5.0,5.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,108.0,60.0,0.37,975.0,the number of berries,0.04424778761061947,,5.0,5.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,70.0,60.0,0.37,975.0,the number of berries,0.627906976744186,,27.0,-27.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,34.0,60.0,0.37,975.0,the number of berries,0.34615384615384615,,18.0,18.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,92.0,60.0,0.37,975.0,the number of berries,0.2602739726027397,,19.0,-19.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,98.0,60.0,0.38,1050.0,the number of berries,0.057692307692307696,,6.0,6.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,106.0,60.0,0.38,1050.0,the number of berries,0.061946902654867256,,7.0,7.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,50.0,60.0,0.38,1050.0,the number of berries,0.16279069767441862,,7.0,-7.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,35.0,60.0,0.38,1050.0,the number of berries,0.3269230769230769,,17.0,17.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,76.0,60.0,0.38,1050.0,the number of berries,0.0410958904109589,,3.0,-3.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,99.0,60.0,0.38,1025.0,the number of berries,0.04807692307692308,,5.0,5.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,109.0,60.0,0.38,1025.0,the number of berries,0.035398230088495575,,4.0,4.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,55.0,60.0,0.38,1025.0,the number of berries,0.27906976744186046,,12.0,-12.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,30.0,60.0,0.38,1025.0,the number of berries,0.4230769230769231,,22.0,22.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,97.0,60.0,0.38,1025.0,the number of berries,0.3287671232876712,,24.0,-24.0,50.0,50.0
0,image-gt-102-pred-104-2000x1500.png,104,116.0,60.0,0.38,1010.0,the number of berries,0.11538461538461539,,12.0,-12.0,50.0,50.0
0,image-gt-110-pred-113-2000x1500.png,113,109.0,60.0,0.38,1010.0,the number of berries,0.035398230088495575,,4.0,4.0,50.0,50.0
0,image-gt-45-pred-43-2000x1500.png,43,63.0,60.0,0.38,1010.0,the number of berries,0.46511627906976744,,20.0,-20.0,50.0,50.0
0,image-gt-54-pred-52-2000x1500.png,52,38.0,60.0,0.38,1010.0,the number of berries,0.2692307692307692,,14.0,14.0,50.0,50.0
0,image-gt-81-pred-73-2000x1500.png,73,100.0,60.0,0.38,1010.0,the number of berries,0.3698630136986301,,27.0,-27.0,50.0,50.0
